PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;14;2;14;28014002_14_6;2017;9;1;43;V;46;V;44;V;43;V;39;V;35;V;32;V;32;V;37;V;45;V;68;V;87;V;101;V;111;V;118;V;118;V;116;V;113;V;101;V;88;V;86;V;81;V;77;V;76;V
28;148;4;7;28148004_7_8;2017;9;1;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2017;9;1;7;V;7;V;6;V;8;V;10;V;16;V;20;V;14;V;12;V;10;V;6;V;6;V;5;V;6;V;6;V;6;V;5;V;9;V;12;V;13;V;11;V;8;V;6;V;7;V
28;148;4;9;28148004_9_49;2017;9;1;2;V;2;V;4;V;3;V;4;V;3;V;8;V;11;V;11;V;10;V;22;V;14;V;14;V;13;V;9;V;6;V;8;V;5;V;5;V;10;V;8;V;11;V;9;V;9;V
28;148;4;10;28148004_10_49;2017;9;1;5;V;3;V;6;V;9;V;8;V;5;V;9;V;15;V;12;V;8;V;8;V;12;V;15;V;14;V;32;V;36;V;37;V;21;V;23;V;15;V;20;V;21;V;12;V;15;V
28;148;4;12;28148004_12_8;2017;9;1;9;V;9;V;8;V;10;V;12;V;19;V;23;V;19;V;17;V;13;V;8;V;8;V;7;V;8;V;8;V;8;V;7;V;11;V;14;V;15;V;13;V;10;V;8;V;9;V
28;148;4;14;28148004_14_6;2017;9;1;59;V;59;V;60;V;57;V;55;V;47;V;43;V;50;V;54;V;62;V;84;V;92;V;101;V;108;V;110;V;112;V;110;V;105;V;97;V;92;V;88;V;84;V;76;V;71;V
28;16;1;1;28016001_1_38;2017;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;6;28016001_6_48;2017;9;1;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V
28;16;1;7;28016001_7_8;2017;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2017;9;1;4;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;4;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;5;V;4;V;5;V;6;V;6;V
28;16;1;9;28016001_9_49;2017;9;1;21;V;19;V;2;V;1;V;1;V;12;V;9;V;1;V;;N;;N;1;V;4;V;12;V;20;V;21;V;18;V;24;V;31;V;41;V;36;V;33;V;12;V;10;V;12;V
28;16;1;10;28016001_10_49;2017;9;1;14;V;22;V;16;V;8;V;8;V;9;V;6;V;8;V;;N;;N;1;V;2;V;6;V;2;V;10;V;16;V;7;V;14;V;9;V;17;V;16;V;7;V;9;V;9;V
28;16;1;12;28016001_12_8;2017;9;1;6;V;7;V;7;V;7;V;6;V;6;V;6;V;6;V;6;V;5;V;5;V;6;V;7;V;7;V;7;V;7;V;7;V;8;V;8;V;7;V;6;V;7;V;8;V;8;V
28;16;1;14;28016001_14_6;2017;9;1;66;V;61;V;58;V;62;V;65;V;65;V;66;V;69;V;74;V;;N;84;V;93;V;99;V;100;V;103;V;107;V;109;V;110;V;108;V;105;V;95;V;86;V;88;V;87;V
28;16;1;20;28016001_20_59;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;N;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;30;28016001_30_59;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;7.3;N;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;42;28016001_42_2;2017;9;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V
28;16;1;44;28016001_44_2;2017;9;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;431;28016001_431_59;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;161;1;7;28161001_7_8;2017;9;1;1;V;2;V;1;V;1;V;2;V;3;V;5;V;8;V;10;V;8;V;3;V;3;V;2;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;161;1;8;28161001_8_8;2017;9;1;17;V;14;V;15;V;15;V;19;V;31;V;37;V;35;V;33;V;23;V;12;V;9;V;8;V;7;V;8;V;11;V;13;V;14;V;29;V;28;V;21;V;18;V;11;V;8;V
28;161;1;9;28161001_9_49;2017;9;1;5;V;5;V;4;V;4;V;9;V;3;V;6;V;9;V;7;V;6;V;10;V;9;V;5;V;10;V;9;V;9;V;9;V;5;V;9;V;9;V;8;V;9;V;7;V;8;V
28;161;1;12;28161001_12_8;2017;9;1;19;V;17;V;17;V;17;V;22;V;36;V;45;V;47;V;48;V;35;V;17;V;14;V;11;V;10;V;10;V;14;V;16;V;16;V;31;V;30;V;23;V;20;V;13;V;10;V
28;161;1;14;28161001_14_6;2017;9;1;38;V;44;V;44;V;40;V;35;V;24;V;17;V;;N;;N;;N;65;V;87;V;105;V;119;V;125;V;127;V;127;V;122;V;94;V;79;V;81;V;81;V;76;V;74;V
28;171;1;1;28171001_1_38;2017;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;6;28171001_6_48;2017;9;1;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;171;1;7;28171001_7_8;2017;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2017;9;1;19;V;19;V;20;V;20;V;16;V;16;V;16;V;18;V;16;V;13;V;11;V;11;V;12;V;13;V;13;V;13;V;11;V;9;V;10;V;11;V;11;V;10;V;11;V;11;V
28;171;1;9;28171001_9_49;2017;9;1;9;V;3;V;4;V;4;V;4;V;7;V;3;V;6;V;2;V;2;V;4;V;19;V;34;V;22;V;8;V;12;V;13;V;12;V;19;V;21;V;12;V;13;V;10;V;8;V
28;171;1;10;28171001_10_49;2017;9;1;10;V;13;V;16;V;10;V;8;V;8;V;12;V;5;V;3;V;4;V;4;V;2;V;1;V;2;V;9;V;14;V;13;V;19;V;22;V;29;V;26;V;21;V;15;V;13;V
28;171;1;12;28171001_12_8;2017;9;1;21;V;21;V;22;V;22;V;18;V;18;V;18;V;20;V;18;V;15;V;13;V;13;V;14;V;15;V;15;V;15;V;13;V;11;V;12;V;13;V;13;V;12;V;13;V;13;V
28;171;1;14;28171001_14_6;2017;9;1;60;V;54;V;47;V;43;V;52;V;47;V;49;V;51;V;60;V;73;V;86;V;95;V;103;V;109;V;110;V;110;V;112;V;111;V;108;V;100;V;94;V;91;V;86;V;78;V
28;180;1;7;28180001_7_8;2017;9;1;2;V;2;V;2;V;1;V;3;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;4;V;4;V;3;V;5;V
28;180;1;8;28180001_8_8;2017;9;1;9;V;15;V;11;V;9;V;11;V;11;V;7;V;6;V;5;V;4;V;3;V;3;V;4;V;4;V;4;V;7;V;7;V;6;V;7;V;14;V;15;V;11;V;9;V;10;V
28;180;1;9;28180001_9_49;2017;9;1;7;V;7;V;12;V;20;V;13;V;9;V;6;V;8;V;6;V;7;V;8;V;6;V;7;V;9;V;10;V;9;V;6;V;7;V;9;V;12;V;17;V;18;V;12;V;12;V
28;180;1;12;28180001_12_8;2017;9;1;12;V;18;V;14;V;11;V;16;V;19;V;10;V;8;V;7;V;6;V;5;V;5;V;6;V;6;V;6;V;9;V;9;V;8;V;9;V;19;V;21;V;17;V;14;V;18;V
28;180;1;14;28180001_14_6;2017;9;1;74;V;65;V;62;V;61;V;52;V;50;V;56;V;56;V;72;V;84;V;92;V;99;V;111;V;118;V;126;V;136;V;141;V;125;V;115;V;93;V;87;V;88;V;85;V;79;V
28;45;2;6;28045002_6_48;2017;9;1;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V
28;45;2;7;28045002_7_8;2017;9;1;1;V;1;V;1;V;1;V;4;V;5;V;6;V;7;V;8;V;9;V;7;V;5;V;3;V;3;V;3;V;4;V;4;V;9;V;7;V;6;V;5;V;4;V;3;V;2;V
28;45;2;8;28045002_8_8;2017;9;1;6;V;7;V;7;V;7;V;10;V;15;V;19;V;17;V;17;V;19;V;16;V;15;V;11;V;11;V;10;V;13;V;17;V;26;V;24;V;19;V;15;V;14;V;18;V;9;V
28;45;2;10;28045002_10_49;2017;9;1;20;V;20;V;16;V;13;V;18;V;9;V;8;V;11;V;7;V;5;V;8;V;5;V;6;V;8;V;10;V;13;V;11;V;5;V;11;V;15;V;14;V;9;V;14;V;12;V
28;45;2;12;28045002_12_8;2017;9;1;8;V;9;V;9;V;9;V;16;V;23;V;28;V;28;V;29;V;33;V;27;V;23;V;16;V;16;V;15;V;19;V;23;V;40;V;35;V;28;V;23;V;20;V;23;V;12;V
28;45;2;14;28045002_14_6;2017;9;1;64;V;59;V;59;V;60;V;60;V;55;V;55;V;56;V;60;V;64;V;71;V;78;V;87;V;92;V;95;V;95;V;95;V;88;V;81;V;80;V;81;V;79;V;68;V;71;V
28;47;2;1;28047002_1_38;2017;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;47;2;7;28047002_7_8;2017;9;1;2;V;2;V;3;V;3;V;4;V;4;V;6;V;8;V;5;V;4;V;4;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;5;V;2;V
28;47;2;8;28047002_8_8;2017;9;1;13;V;15;V;24;V;22;V;29;V;25;V;31;V;27;V;15;V;12;V;12;V;10;V;16;V;14;V;15;V;16;V;18;V;23;V;28;V;30;V;31;V;21;V;20;V;20;V
28;47;2;9;28047002_9_49;2017;9;1;14;V;10;V;7;V;9;V;8;V;10;V;5;V;3;V;4;V;1;V;1;V;1;V;5;V;6;V;5;V;6;V;3;V;4;V;4;V;2;V;6;V;8;V;7;V;7;V
28;47;2;12;28047002_12_8;2017;9;1;16;V;18;V;29;V;27;V;35;V;31;V;40;V;39;V;23;V;18;V;18;V;15;V;22;V;20;V;21;V;22;V;24;V;29;V;33;V;35;V;36;V;26;V;28;V;23;V
28;47;2;14;28047002_14_6;2017;9;1;56;V;53;V;28;V;20;V;22;V;35;V;35;V;41;V;57;V;66;V;74;V;86;V;93;V;95;V;96;V;98;V;96;V;92;V;83;V;71;V;66;V;75;V;73;V;63;V
28;47;2;20;28047002_20_59;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.8;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.1;V;0.1;V
28;47;2;30;28047002_30_59;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.1;V;0.1;V;0.1;V;0.2;V;0.3;V;0.3;V;0.1;V;0.1;V
28;47;2;42;28047002_42_2;2017;9;1;0.6;V;0.6;V;0.6;V;0.7;V;0.7;V;0.7;V;0.6;V;0.7;V;0.6;V;;N;;N;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.7;V
28;47;2;44;28047002_44_2;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;47;2;431;28047002_431_59;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;49;3;7;28049003_7_8;2017;9;1;2;V;1;V;1;V;2;V;6;V;15;V;29;V;21;V;18;V;15;V;11;V;11;V;12;V;9;V;11;V;8;V;12;V;10;V;10;V;7;V;4;V;4;V;4;V;2;V
28;49;3;8;28049003_8_8;2017;9;1;15;V;15;V;16;V;20;V;30;V;42;V;56;V;45;V;40;V;37;V;33;V;32;V;33;V;29;V;34;V;32;V;42;V;40;V;36;V;28;V;25;V;26;V;18;V;16;V
28;49;3;10;28049003_10_49;2017;9;1;12;V;11;V;5;V;9;V;12;V;10;V;15;V;19;V;15;V;18;V;20;V;19;V;8;V;2;V;11;V;11;V;17;V;15;V;24;V;23;V;15;V;14;V;18;V;8;V
28;49;3;12;28049003_12_8;2017;9;1;18;V;17;V;18;V;23;V;39;V;65;V;100;V;77;V;68;V;60;V;50;V;49;V;51;V;43;V;51;V;44;V;60;V;55;V;51;V;39;V;31;V;32;V;24;V;19;V
28;49;3;14;28049003_14_6;2017;9;1;52;V;53;V;50;V;46;V;37;V;28;V;17;V;26;V;33;V;43;V;55;V;69;V;76;V;92;V;91;V;95;V;87;V;81;V;76;V;80;V;79;V;68;V;66;V;61;V
28;5;2;1;28005002_1_38;2017;9;1;2;V;1;V;1;V;2;V;3;V;2;V;3;V;4;V;3;V;2;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;5;2;6;28005002_6_48;2017;9;1;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;5;2;7;28005002_7_8;2017;9;1;1;V;1;V;1;V;2;V;3;V;4;V;8;V;11;V;9;V;6;V;3;V;4;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V;2;V;1;V;2;V;2;V;2;V
28;5;2;8;28005002_8_8;2017;9;1;14;V;10;V;11;V;20;V;31;V;36;V;39;V;35;V;28;V;20;V;14;V;16;V;12;V;13;V;12;V;12;V;17;V;22;V;23;V;25;V;16;V;14;V;18;V;17;V
28;5;2;10;28005002_10_49;2017;9;1;17;V;14;V;5;V;8;V;9;V;17;V;14;V;21;V;20;V;12;V;7;V;6;V;5;V;8;V;11;V;12;V;6;V;11;V;23;V;20;V;20;V;15;V;14;V;14;V
28;5;2;12;28005002_12_8;2017;9;1;16;V;12;V;13;V;23;V;36;V;42;V;51;V;52;V;42;V;29;V;19;V;22;V;17;V;16;V;15;V;15;V;22;V;27;V;28;V;28;V;18;V;17;V;21;V;20;V
28;5;2;14;28005002_14_6;2017;9;1;54;V;59;V;56;V;45;V;34;V;27;V;26;V;31;V;41;V;57;V;82;V;93;V;104;V;109;V;113;V;110;V;106;V;99;V;93;V;86;V;87;V;78;V;67;V;66;V
28;58;4;7;28058004_7_8;2017;9;1;3;V;3;V;4;V;5;V;6;V;9;V;22;V;18;V;19;V;17;V;10;V;10;V;6;V;4;V;3;V;4;V;4;V;5;V;3;V;5;V;4;V;3;V;3;V;3;V
28;58;4;8;28058004_8_8;2017;9;1;21;V;19;V;17;V;18;V;31;V;46;V;57;V;54;V;50;V;40;V;26;V;24;V;20;V;17;V;13;V;19;V;20;V;32;V;27;V;37;V;36;V;31;V;20;V;15;V
28;58;4;10;28058004_10_49;2017;9;1;5;V;11;V;12;V;11;V;12;V;14;V;18;V;13;V;18;V;18;V;21;V;13;V;16;V;12;V;9;V;9;V;10;V;12;V;8;V;12;V;16;V;18;V;15;V;15;V
28;58;4;12;28058004_12_8;2017;9;1;26;V;24;V;23;V;26;V;40;V;60;V;91;V;82;V;79;V;66;V;41;V;39;V;29;V;23;V;18;V;25;V;26;V;40;V;32;V;45;V;42;V;36;V;25;V;20;V
28;58;4;14;28058004_14_6;2017;9;1;54;V;56;V;59;V;55;V;42;V;31;V;24;V;29;V;35;V;48;V;67;V;78;V;94;V;110;V;120;V;121;V;121;V;103;V;97;V;79;V;75;V;76;V;78;V;74;V
28;58;4;20;28058004_20_59;2017;9;1;0.5;V;1;V;0.8;V;0.7;V;0.6;V;0.7;V;1;V;1.2;V;1.4;V;1.7;V;1.1;V;0.8;V;0.5;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.5;V;0.7;V;0.7;V;0.9;V;0.6;V;0.3;V
28;58;4;30;28058004_30_59;2017;9;1;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.3;V;0.3;V;0.4;V;0.3;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V
28;58;4;42;28058004_42_2;2017;9;1;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.4;V;1.4;V;1.4;V;1.4;V;1.4;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V;1.5;V
28;58;4;44;28058004_44_2;2017;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;58;4;431;28058004_431_59;2017;9;1;0.4;V;0.5;V;0.4;V;0.5;V;1.2;V;1;V;0.7;V;1.1;V;1.2;V;1.1;V;0.7;V;0.7;V;0.4;V;0.2;V;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0.4;V;0.5;V;0.6;V;0.5;V;0.3;V
28;6;4;7;28006004_7_8;2017;9;1;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;4;V;2;V;2;V;2;V;3;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;6;4;8;28006004_8_8;2017;9;1;6;V;5;V;4;V;6;V;9;V;16;V;18;V;12;V;10;V;7;V;9;V;8;V;10;V;8;V;8;V;8;V;11;V;10;V;15;V;11;V;14;V;10;V;7;V;6;V
28;6;4;10;28006004_10_49;2017;9;1;11;V;14;V;9;V;8;V;9;V;7;V;6;V;9;V;7;V;13;V;15;V;6;V;5;V;7;V;9;V;12;V;5;V;5;V;6;V;9;V;14;V;13;V;11;V;9;V
